"subNum","objNum","kitchen","expectancy","recollection","familiar","guess","noMemory"
25,"microwave","kitchen",46.254072,"not recollected","familiar","not guessed",0
25,"kitchen roll","kitchen",93.811075,"not recollected","not familiar","guessed",0
25,"saucepan","kitchen",83.713355,"recollected","not familiar","not guessed",0
25,"toaster","kitchen",-88.110749,"not recollected","not familiar","guessed",0
25,"bowl of fruits","kitchen",-26.872964,"recollected","not familiar","not guessed",0
25,"tea pot","kitchen",-73.289902,"recollected","not familiar","not guessed",0
25,"knife","kitchen",-71.986971,"recollected","not familiar","not guessed",0
25,"mixer","kitchen",95.602606,"not recollected","familiar","not guessed",0
25,"bread","kitchen",57.81759,"not recollected","not familiar","guessed",0
25,"glass jug","kitchen",94.788274,"not recollected","familiar","not guessed",0
25,"mug","kitchen",94.788274,"not recollected","not familiar","guessed",0
25,"dishes","kitchen",-91.530945,"recollected","not familiar","not guessed",0
25,"towels","non-kitchen",84.364821,"not recollected","not familiar","guessed",0
25,"toy","non-kitchen",64.332248,"not recollected","not familiar","guessed",0
25,"pile of books","non-kitchen",29.153094,"recollected","not familiar","not guessed",0
25,"umbrella","non-kitchen",54.397394,"not recollected","not familiar","not guessed",1
25,"hat","non-kitchen",-61.563518,"recollected","not familiar","not guessed",0
25,"helmet","non-kitchen",9.446254,"recollected","not familiar","not guessed",0
25,"calendar","non-kitchen",16.775244,"recollected","not familiar","not guessed",0
25,"fan","non-kitchen",-49.837134,"not recollected","not familiar","guessed",0
26,"microwave","kitchen",100,"recollected","not familiar","not guessed",0
26,"kitchen roll","kitchen",51.791531,"not recollected","familiar","not guessed",0
26,"saucepan","kitchen",85.179153,"not recollected","not familiar","not guessed",1
26,"toaster","kitchen",-100,"not recollected","not familiar","guessed",0
26,"bowl of fruits","kitchen",-100,"not recollected","not familiar","guessed",0
26,"tea pot","kitchen",100,"not recollected","not familiar","guessed",0
26,"knife","kitchen",-100,"not recollected","familiar","not guessed",0
26,"mixer","kitchen",62.214984,"not recollected","not familiar","guessed",0
26,"bread","kitchen",100,"recollected","not familiar","not guessed",0
26,"glass jug","kitchen",92.508143,"not recollected","not familiar","not guessed",1
26,"mug","kitchen",0.651466,"not recollected","familiar","not guessed",0
26,"dishes","kitchen",-98.697068,"recollected","not familiar","not guessed",0
26,"towels","non-kitchen",77.361564,"recollected","not familiar","not guessed",0
26,"toy","non-kitchen",-23.778502,"recollected","not familiar","not guessed",0
26,"pile of books","non-kitchen",-55.211726,"not recollected","not familiar","not guessed",1
26,"umbrella","non-kitchen",92.508143,"not recollected","not familiar","not guessed",1
26,"hat","non-kitchen",-100,"not recollected","familiar","not guessed",0
26,"helmet","non-kitchen",-71.335505,"not recollected","not familiar","not guessed",1
26,"calendar","non-kitchen",-11.563518,"recollected","not familiar","not guessed",0
26,"fan","non-kitchen",-95.765472,"not recollected","not familiar","not guessed",1
