"objNam","objNum","set","location","expectancy"
"microwave",1,1,8," 74.208333"
"kitchenRoll",2,1,5,"  0.9583333"
"saucepan",3,1,19,"70.9583333"
"toaster",4,1,4,"-79.62500"
"fruitBowl",5,1,15," 13.666667"
"teaPot",6,1,12,"-36.208333"
"knife",7,1,13,"-24.08333"
"mixer",8,1,9," 45.250000"
"bread",9,1,16,"-88.750000"
"glassContainer",10,1,7," 49.958333"
"mug",11,1,18," 92.333333"
"dishes",12,1,6,"-53.750000"
"towel",13,1,11,"-14.7916667"
"toy",14,1,17,"33.500000"
"bookPile",15,1,14,"-35.04167"
"umbrella",16,1,3," -8.958333"
"hat",17,1,10,"-62.37500"
"helmet",18,1,1," -4.375000"
"calendar",19,1,2," 25.3333333"
"fan",20,1,20," 23.45833333"
"microwave",1,2,13,"-95.58333"
"kitchenRoll",2,2,10,"-32.66667"
"saucepan",3,2,15," 17.166667"
"toaster",4,2,9,"  4.958333"
"fruitBowl",5,2,18," 88.541667"
"teaPot",6,2,2," 75.5833333"
"knife",7,2,17,"56.541667"
"mixer",8,2,3," 61.375000"
"bread",9,2,4,"-85.41667"
"glassContainer",10,2,14," 40.91667"
"mug",11,2,12,"-33.625000"
"dishes",12,2,6,"-53.750000"
"towel",13,2,1," 18.208333"
"toy",14,2,20,"  0.95833333"
"bookPile",15,2,16," -3.791667"
"umbrella",16,2,11,"  8.6250000"
"hat",17,2,5," 28.3333333"
"helmet",18,2,7,"-16.416667"
"calendar",19,2,8," 54.750000"
"fan",20,2,19,"48.2500000"
"microwave",1,3,13,"-95.58333"
"kitchenRoll",2,3,10,"-32.66667"
"saucepan",3,3,5,"-10.0000000"
"toaster",4,3,20," 30.08333333"
"fruitBowl",5,3,14," 15.29167"
"teaPot",6,3,6,"-58.708333"
"knife",7,3,19,"64.2916667"
"mixer",8,3,4,"-80.25000"
"bread",9,3,15,"-34.166667"
"glassContainer",10,3,8," 59.708333"
"mug",11,3,7," 85.291667"
"dishes",12,3,1," 87.666667"
"towel",13,3,18,"  5.208333"
"toy",14,3,9," 29.875000"
"bookPile",15,3,11," 52.3750000"
"umbrella",16,3,2," -0.7083333"
"hat",17,3,12," -1.875000"
"helmet",18,3,16,"-45.958333"
"calendar",19,3,17,"55.416667"
"fan",20,3,3," 39.958333"
"microwave",1,4,13,"-95.58333"
"kitchenRoll",2,4,14," 69.87500"
"saucepan",3,4,16,"-59.083333"
"toaster",4,4,18,"-10.375000"
"fruitBowl",5,4,9," 36.750000"
"teaPot",6,4,11," -0.4166667"
"knife",7,4,17,"56.541667"
"mixer",8,4,15," 25.791667"
"bread",9,4,4,"-85.41667"
"glassContainer",10,4,6,"-48.666667"
"mug",11,4,3," 89.958333"
"dishes",12,4,19,"80.1666667"
"towel",13,4,5,"-13.0416667"
"toy",14,4,7," -6.291667"
"bookPile",15,4,10,"-62.58333"
"umbrella",16,4,2," -0.7083333"
"hat",17,4,8," -4.541667"
"helmet",18,4,20," -2.66666667"
"calendar",19,4,1," 50.625000"
"fan",20,4,12,"-41.250000"
"microwave",1,5,11,"-28.0000000"
"kitchenRoll",2,5,5,"  0.9583333"
"saucepan",3,5,10,"-60.83333"
"toaster",4,5,19,"53.8750000"
"fruitBowl",5,5,4,"-81.66667"
"teaPot",6,5,15," 36.333333"
"knife",7,5,20," 74.41666667"
"mixer",8,5,17,"21.708333"
"bread",9,5,16,"-88.750000"
"glassContainer",10,5,6,"-48.666667"
"mug",11,5,18," 92.333333"
"dishes",12,5,1," 87.666667"
"towel",13,5,12,"-14.083333"
"toy",14,5,9," 29.875000"
"bookPile",15,5,14,"-35.04167"
"umbrella",16,5,8,"-14.541667"
"hat",17,5,3,"  4.333333"
"helmet",18,5,2,"-23.3750000"
"calendar",19,5,7," -9.958333"
"fan",20,5,13,"-92.29167"
