"subNum","objNum","kitchen","expectancy","recollection"
25,"microwave","kitchen",46.254072,"not recollected"
25,"kitchen roll","kitchen",93.811075,"not recollected"
25,"saucepan","kitchen",83.713355,"recollected"
25,"toaster","kitchen",-88.110749,"not recollected"
25,"bowl of fruits","kitchen",-26.872964,"recollected"
25,"tea pot","kitchen",-73.289902,"recollected"
25,"knife","kitchen",-71.986971,"recollected"
25,"mixer","kitchen",95.602606,"not recollected"
25,"bread","kitchen",57.81759,"not recollected"
25,"glass jug","kitchen",94.788274,"not recollected"
25,"mug","kitchen",94.788274,"not recollected"
25,"dishes","kitchen",-91.530945,"recollected"
25,"towels","non-kitchen",84.364821,"not recollected"
25,"toy","non-kitchen",64.332248,"not recollected"
25,"pile of books","non-kitchen",29.153094,"recollected"
25,"umbrella","non-kitchen",54.397394,"not recollected"
25,"hat","non-kitchen",-61.563518,"recollected"
25,"helmet","non-kitchen",9.446254,"recollected"
25,"calendar","non-kitchen",16.775244,"recollected"
25,"fan","non-kitchen",-49.837134,"not recollected"
26,"microwave","kitchen",100,"recollected"
26,"kitchen roll","kitchen",51.791531,"not recollected"
26,"saucepan","kitchen",85.179153,"not recollected"
26,"toaster","kitchen",-100,"not recollected"
26,"bowl of fruits","kitchen",-100,"not recollected"
26,"tea pot","kitchen",100,"not recollected"
26,"knife","kitchen",-100,"not recollected"
26,"mixer","kitchen",62.214984,"not recollected"
26,"bread","kitchen",100,"recollected"
26,"glass jug","kitchen",92.508143,"not recollected"
26,"mug","kitchen",0.651466,"not recollected"
26,"dishes","kitchen",-98.697068,"recollected"
26,"towels","non-kitchen",77.361564,"recollected"
26,"toy","non-kitchen",-23.778502,"recollected"
26,"pile of books","non-kitchen",-55.211726,"not recollected"
26,"umbrella","non-kitchen",92.508143,"not recollected"
26,"hat","non-kitchen",-100,"not recollected"
26,"helmet","non-kitchen",-71.335505,"not recollected"
26,"calendar","non-kitchen",-11.563518,"recollected"
26,"fan","non-kitchen",-95.765472,"not recollected"
28,"microwave","kitchen",16.123779,"not recollected"
28,"kitchen roll","kitchen",86.970684,"not recollected"
28,"saucepan","kitchen",92.345277,"not recollected"
28,"toaster","kitchen",-61.563518,"recollected"
28,"bowl of fruits","kitchen",-69.869707,"not recollected"
28,"tea pot","kitchen",88.599349,"not recollected"
28,"knife","kitchen",25.732899,"recollected"
28,"mixer","kitchen",87.785016,"recollected"
28,"bread","kitchen",-19.869707,"recollected"
28,"glass jug","kitchen",67.42671,"not recollected"
28,"mug","kitchen",54.071661,"not recollected"
28,"dishes","kitchen",-39.413681,"recollected"
28,"towels","non-kitchen",-7.491857,"recollected"
28,"toy","non-kitchen",18.241042,"recollected"
28,"pile of books","non-kitchen",-4.071661,"not recollected"
28,"umbrella","non-kitchen",-76.221498,"recollected"
28,"hat","non-kitchen",-16.449511,"recollected"
28,"helmet","non-kitchen",-96.254072,"not recollected"
28,"calendar","non-kitchen",17.263844,"recollected"
28,"fan","non-kitchen",15.309446,"not recollected"
29,"microwave","kitchen",100,"not recollected"
29,"kitchen roll","kitchen",92.18241,"not recollected"
29,"saucepan","kitchen",-14.006515,"not recollected"
29,"toaster","kitchen",-100,"recollected"
29,"bowl of fruits","kitchen",-65.635179,"not recollected"
29,"tea pot","kitchen",-53.908795,"not recollected"
29,"knife","kitchen",-100,"not recollected"
29,"mixer","kitchen",71.986971,"not recollected"
29,"bread","kitchen",-30.781759,"recollected"
29,"glass jug","kitchen",71.824104,"not recollected"
29,"mug","kitchen",86.970684,"not recollected"
29,"dishes","kitchen",-68.078176,"recollected"
29,"towels","non-kitchen",-35.830619,"recollected"
29,"toy","non-kitchen",100,"recollected"
29,"pile of books","non-kitchen",52.442997,"recollected"
29,"umbrella","non-kitchen",-100,"not recollected"
29,"hat","non-kitchen",-75.570033,"recollected"
29,"helmet","non-kitchen",-100,"not recollected"
29,"calendar","non-kitchen",44.95114,"not recollected"
29,"fan","non-kitchen",-0.162866,"not recollected"
30,"microwave","kitchen",94.95114,"recollected"
30,"kitchen roll","kitchen",79.80456,"not recollected"
30,"saucepan","kitchen",84.690554,"not recollected"
30,"toaster","kitchen",-100,"recollected"
30,"bowl of fruits","kitchen",20.19544,"recollected"
30,"tea pot","kitchen",39.90228,"not recollected"
30,"knife","kitchen",-95.439739,"recollected"
30,"mixer","kitchen",-39.90228,"not recollected"
30,"bread","kitchen",-94.788274,"recollected"
30,"glass jug","kitchen",71.986971,"not recollected"
30,"mug","kitchen",89.739414,"not recollected"
30,"dishes","kitchen",-100,"recollected"
30,"towels","non-kitchen",20.19544,"not recollected"
30,"toy","non-kitchen",84.85342,"recollected"
30,"pile of books","non-kitchen",-30.130293,"recollected"
30,"umbrella","non-kitchen",49.837134,"recollected"
30,"hat","non-kitchen",12.703583,"not recollected"
30,"helmet","non-kitchen",-57.003257,"not recollected"
30,"calendar","non-kitchen",85.179153,"recollected"
30,"fan","non-kitchen",-74.7557,"recollected"
31,"microwave","kitchen",86.807818,"not recollected"
31,"kitchen roll","kitchen",39.739414,"recollected"
31,"saucepan","kitchen",85.504886,"not recollected"
31,"toaster","kitchen",-30.781759,"not recollected"
31,"bowl of fruits","kitchen",49.022801,"recollected"
31,"tea pot","kitchen",7.654723,"not recollected"
31,"knife","kitchen",-19.218241,"recollected"
31,"mixer","kitchen",-14.983713,"not recollected"
31,"bread","kitchen",18.241042,"recollected"
31,"glass jug","kitchen",65.960912,"recollected"
31,"mug","kitchen",89.087948,"not recollected"
31,"dishes","kitchen",-47.23127,"recollected"
31,"towels","non-kitchen",55.700326,"not recollected"
31,"toy","non-kitchen",61.400651,"recollected"
31,"pile of books","non-kitchen",-34.690554,"not recollected"
31,"umbrella","non-kitchen",-19.381107,"recollected"
31,"hat","non-kitchen",-9.446254,"recollected"
31,"helmet","non-kitchen",-64.820847,"not recollected"
31,"calendar","non-kitchen",53.745928,"recollected"
31,"fan","non-kitchen",-9.771987,"recollected"
32,"microwave","kitchen",94.788274,"recollected"
32,"kitchen roll","kitchen",82.410423,"not recollected"
32,"saucepan","kitchen",89.739414,"recollected"
32,"toaster","kitchen",-90.716612,"recollected"
32,"bowl of fruits","kitchen",-78.175896,"not recollected"
32,"tea pot","kitchen",-54.885993,"not recollected"
32,"knife","kitchen",-23.941368,"recollected"
32,"mixer","kitchen",40.065147,"not recollected"
32,"bread","kitchen",-54.560261,"recollected"
32,"glass jug","kitchen",65.472313,"recollected"
32,"mug","kitchen",86.482085,"not recollected"
32,"dishes","kitchen",-100,"not recollected"
32,"towels","non-kitchen",69.543974,"recollected"
32,"toy","non-kitchen",47.71987,"recollected"
32,"pile of books","non-kitchen",-60.09772,"not recollected"
32,"umbrella","non-kitchen",-68.078176,"recollected"
32,"hat","non-kitchen",-70.032573,"not recollected"
32,"helmet","non-kitchen",8.143322,"not recollected"
32,"calendar","non-kitchen",-50.325733,"recollected"
32,"fan","non-kitchen",79.967427,"not recollected"
33,"microwave","kitchen",47.23127,"not recollected"
33,"kitchen roll","kitchen",100,"recollected"
33,"saucepan","kitchen",38.925081,"not recollected"
33,"toaster","kitchen",100,"recollected"
33,"bowl of fruits","kitchen",-55.537459,"not recollected"
33,"tea pot","kitchen",-100,"not recollected"
33,"knife","kitchen",100,"recollected"
33,"mixer","kitchen",-54.234528,"not recollected"
33,"bread","kitchen",65.635179,"recollected"
33,"glass jug","kitchen",-24.429967,"not recollected"
33,"mug","kitchen",-18.403909,"not recollected"
33,"dishes","kitchen",100,"recollected"
33,"towels","non-kitchen",-77.687296,"not recollected"
33,"toy","non-kitchen",100,"recollected"
33,"pile of books","non-kitchen",39.576547,"not recollected"
33,"umbrella","non-kitchen",69.055375,"not recollected"
33,"hat","non-kitchen",100,"recollected"
33,"helmet","non-kitchen",19.218241,"not recollected"
33,"calendar","non-kitchen",100,"recollected"
33,"fan","non-kitchen",100,"recollected"
34,"microwave","kitchen",70.521173,"not recollected"
34,"kitchen roll","kitchen",19.381107,"recollected"
34,"saucepan","kitchen",80.618893,"recollected"
34,"toaster","kitchen",-83.550489,"recollected"
34,"bowl of fruits","kitchen",31.107492,"recollected"
34,"tea pot","kitchen",51.791531,"not recollected"
34,"knife","kitchen",-50.162866,"recollected"
34,"mixer","kitchen",19.869707,"recollected"
34,"bread","kitchen",-17.100977,"not recollected"
34,"glass jug","kitchen",88.925081,"not recollected"
34,"mug","kitchen",92.18241,"not recollected"
34,"dishes","kitchen",-84.364821,"not recollected"
34,"towels","non-kitchen",-55.700326,"not recollected"
34,"toy","non-kitchen",-30.130293,"not recollected"
34,"pile of books","non-kitchen",0.162866,"recollected"
34,"umbrella","non-kitchen",-45.439739,"not recollected"
34,"hat","non-kitchen",-28.827362,"not recollected"
34,"helmet","non-kitchen",26.221498,"recollected"
34,"calendar","non-kitchen",48.534202,"recollected"
34,"fan","non-kitchen",-34.85342,"recollected"
35,"microwave","kitchen",99.674267,"recollected"
35,"kitchen roll","kitchen",0.325733,"not recollected"
35,"saucepan","kitchen",89.90228,"recollected"
35,"toaster","kitchen",-99.511401,"recollected"
35,"bowl of fruits","kitchen",-12.703583,"recollected"
35,"tea pot","kitchen",-43.973941,"recollected"
35,"knife","kitchen",-67.589577,"not recollected"
35,"mixer","kitchen",-13.843648,"recollected"
35,"bread","kitchen",-35.993485,"not recollected"
35,"glass jug","kitchen",18.729642,"not recollected"
35,"mug","kitchen",92.833876,"recollected"
