objectNames	general	loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20
microwave	99.25	91.9166666666667	60.25	47.2916666666667	-53.4583333333333	-5.95833333333333	-47.2083333333333	8.375	74.2083333333333	80.5	-75.375	-28	-65.0833333333333	-95.5833333333333	-17.2916666666667	-5.20833333333333	-61.9583333333333	-4.95833333333333	-5.66666666666667	42.4166666666667	25.5
kitchen roll	98.125	66.4166666666667	82	65.9166666666667	-32.3333333333333	0.958333333333333	-38	79.375	73.7083333333333	60.125	-32.6666666666667	-31.0416666666667	4.875	-48.5416666666667	69.875	23.7083333333333	-37.125	79.7083333333333	62.25	79.7083333333333	73.8333333333333
saucepan	96.5833333333333	37	87.8333333333333	61.2083333333333	-59	-10	-56.9583333333333	77.9166666666667	52.2916666666667	41.3333333333333	-60.8333333333333	7.79166666666667	-36.5416666666667	98.0833333333333	67.75	17.1666666666667	-59.0833333333333	55.7083333333333	41.4583333333333	70.9583333333333	74.8333333333333
toaster	99.1666666666667	2.83333333333333	69.3333333333333	69.4166666666667	-79.625	-62.6666666666667	-74.75	-9.95833333333333	-5.66666666666667	4.95833333333333	-70.7916666666667	-56.8333333333333	-66.3333333333333	-74.9583333333333	-33.6666666666667	-41.4166666666667	-71.3333333333333	12.5416666666667	-10.375	53.875	30.0833333333333
fruit bowl	90.4583333333333	63.75	63.8333333333333	82.9166666666667	-81.6666666666667	-0.583333333333333	-58.2916666666667	25.625	51.3333333333333	36.75	-44.375	-29.3333333333333	-20.7083333333333	-69.8333333333333	15.2916666666667	13.6666666666667	-80.5833333333333	86.6666666666667	88.5416666666667	84.5416666666667	33.0416666666667
tea pot	97.0416666666667	66.5	75.5833333333333	70.9583333333333	-72.75	-10.4166666666667	-58.7083333333333	56.7083333333333	62	68.2083333333333	-66.1666666666667	-0.416666666666667	-36.2083333333333	19.5416666666667	47.75	36.3333333333333	-68.2083333333333	79.375	73.6666666666667	67.125	74.875
knife	99.2916666666667	-8.41666666666667	81.375	78.9166666666667	-66.25	-66.9583333333333	-67.2083333333333	68.3333333333333	14.625	-12.0833333333333	-73.7916666666667	-43.4583333333333	-55.5	-24.0833333333333	88.5	-31.7083333333333	-53.4166666666667	56.5416666666667	60.9166666666667	64.2916666666667	74.4166666666667
mixer	96.7083333333333	60.5833333333333	63.25	61.375	-80.25	10.875	-68.8333333333333	31.2916666666667	64.25	45.25	-75.7916666666667	-3.58333333333333	-62.1666666666667	-64.9583333333333	29.4166666666667	25.7916666666667	-71.8333333333333	21.7083333333333	20.1666666666667	62.4583333333333	49.6666666666667
bread	98.875	16.9583333333333	54.9166666666667	60.9166666666667	-85.4166666666667	-50.7083333333333	-68.3333333333333	5.625	35.5	-3.04166666666667	-47.375	-49.875	-55.9583333333333	-62.6666666666667	8.75	-34.1666666666667	-88.75	69.6666666666667	45	72.7083333333333	45.1666666666667
glass jug	88.2916666666667	71.5833333333333	53.625	58	-59.875	15.1666666666667	-48.6666666666667	49.9583333333333	59.7083333333333	77.7083333333333	-67.75	0.791666666666667	-38.2916666666667	-76.0833333333333	40.9166666666667	49.9583333333333	-66.7083333333333	59.8333333333333	63.0416666666667	64.1666666666667	68.0416666666667
mug	93.5416666666667	57.4166666666667	74.3333333333333	89.9583333333333	-51.5416666666667	-15	-51.4583333333333	85.2916666666667	57.5833333333333	67.6666666666667	-70.5833333333333	-5.08333333333333	-33.625	-36.4166666666667	73.4166666666667	31.7083333333333	-58.2916666666667	81.875	92.3333333333333	91.1666666666667	62.875
dishes	95.2083333333333	87.6666666666667	75.8333333333333	64.375	-64.9583333333333	-18.9583333333333	-53.75	83.6666666666667	71.5416666666667	81.125	-79.9583333333333	10.9583333333333	-14.5416666666667	-32.9166666666667	73	56.25	-76.4166666666667	76.1666666666667	79.9166666666667	80.1666666666667	69.6666666666667
towels	18.4583333333333	18.2083333333333	16.125	10.875	-77.25	-13.0416666666667	-43.4583333333333	17.7916666666667	10.2083333333333	31.1666666666667	-26.25	-14.7916666666667	-14.0833333333333	-73.5833333333333	0.5	44.3333333333333	-55.9583333333333	20.8333333333333	5.20833333333333	25.125	18.5
toy	13.5833333333333	-7.04166666666667	-13.9583333333333	13.8333333333333	40.3333333333333	36.125	53.2083333333333	-6.29166666666667	-15.4166666666667	29.875	-27.875	38.75	6.5	-78.5416666666667	-41.7916666666667	55.1666666666667	23.7083333333333	33.5	15	0.708333333333333	0.958333333333333
pile of books	3.91666666666667	-1.45833333333333	-9.16666666666667	25.8333333333333	-53.625	36.875	3.79166666666667	-37.7083333333333	19.1666666666667	21.3333333333333	-62.5833333333333	52.375	8.70833333333333	-90.2083333333333	-35.0416666666667	77.25	-3.79166666666667	45.5416666666667	48.875	33.7916666666667	-17.375
